nom,RA,Dec,Tmag,n_candidats,periodes,snr_max,verdict_auto,raisons_auto,n_secteurs,secondes,status
TIC 44180973,229.3772,-58.8022,4.0,0,,,,,9,13.6,ok
TIC 469811127,300.1501,-72.9115,4.0,0,,,,,10,14.4,ok
TIC 442652828,237.7396,-33.6274,4.02,0,,,,,4,6.5,ok
TIC 289874961,234.05,-44.3972,4.06,0,,,,,4,6.5,ok
TIC 247258119,253.6123,-42.479,4.06,1,12.6853,13.5,rejete,variabilite_continue;eclipse_secondaire,3,7.2,ok
TIC 207458362,243.3697,-54.6306,4.06,0,,,,,6,9.5,ok
TIC 199733788,22.3773,-46.7563,4.09,0,,,,,8,11.1,ok
TIC 394007775,329.4801,-54.9926,4.11,0,,,,,7,10.4,ok
TIC 74742533,265.8289,-57.724,4.11,0,,,,,8,10.8,ok
TIC 15161212,244.5727,-46.4499,4.13,0,,,,,4,6.4,ok
TIC 402453271,247.7055,-61.6336,4.15,0,,,,,8,13.9,ok
TIC 279882911,239.8757,-41.7446,4.15,0,,,,,4,7.8,ok
TIC 201234655,359.7331,-52.7454,4.15,0,,,,,10,14.7,ok
TIC 303696290,272.1454,-63.67,4.16,0,,,,,9,12.0,ok
TIC 160630615,227.2107,-45.28,4.17,0,,,,,4,7.4,ok
TIC 447097898,238.8732,-68.603,4.18,0,,,,,8,10.7,ok
TIC 411380080,244.2539,-50.0681,4.19,0,,,,,3,5.2,ok
TIC 469933293,351.0555,-51.8914,4.2,0,,,,,5,7.7,ok
TIC 301404113,256.1402,-68.2789,4.22,0,,,,,8,14.5,ok
TIC 339129239,293.8664,-62.7595,4.25,0,,,,,7,10.1,ok
TIC 121792588,226.3301,-41.0672,4.25,0,,,,,5,8.3,ok
TIC 320359912,295.8066,-56.2606,4.25,0,,,,,6,10.2,ok
TIC 423407817,240.4009,-54.1433,4.25,0,,,,,4,7.3,ok
TIC 46705199,230.8442,-59.321,4.25,0,,,,,8,10.9,ok
TIC 254425584,235.2957,-44.6632,4.25,0,,,,,4,6.3,ok
TIC 382018068,257.676,-44.5582,4.26,0,,,,,6,16.1,ok
TIC 177337039,235.8902,-37.1695,4.28,0,,,,,4,10.0,ok
TIC 271503437,7.8908,-62.9659,4.28,0,,,,,10,20.4,ok
TIC 214455108,261.5003,-50.6335,4.28,0,,,,,6,11.3,ok
TIC 352350404,300.4693,-66.9445,4.29,0,,,,,7,11.6,ok
TIC 410118760,327.6961,-69.6294,4.3,0,,,,,10,15.0,ok
TIC 219323708,331.4634,-59.6365,4.31,0,,,,,10,14.3,ok
TIC 246957312,253.4952,-41.9943,4.33,0,,,,,2,3.4,ok
TIC 96745915,265.1004,-49.4169,4.35,0,,,,,6,8.9,ok
TIC 376669357,292.7961,-68.434,4.35,0,,,,,10,14.5,ok
TIC 69720786,241.2543,-39.217,4.36,0,,,,,3,5.0,ok
TIC 176457161,235.6592,-37.4251,4.37,0,,,,,4,6.3,ok
TIC 375232307,283.0543,-62.1877,4.37,0,,,,,9,12.9,ok
TIC 455309397,222.9093,-43.5755,4.37,0,,,,,5,7.6,ok
TIC 281703963,10.8384,-57.463,4.37,0,,26.2,rejete,variabilite_continue;eclipse_secondaire,10,18.7,ok
TIC 246962305,253.4989,-42.3621,4.38,0,,,,,3,5.3,ok
TIC 426665045,235.668,-65.9247,4.38,0,,,,,9,13.5,ok
TIC 362747897,247.1216,-70.0836,4.38,0,,,,,6,8.9,ok
TIC 70041394,241.6479,-36.8025,4.41,0,,,,,4,6.3,ok
