nom,RA,Dec,Tmag,n_candidats,periodes,snr_max,verdict_auto,raisons_auto,n_secteurs,secondes,status
TIC 250410255,30.9188,-4.104,4.01,0,,,,,2,12.8,ok
TIC 143206598,90.3179,-33.912,4.02,0,,,,,5,23.0,ok
TIC 326242565,41.2783,-18.5723,4.03,0,,,,,3,16.0,ok
TIC 65903024,108.7026,-26.7726,4.05,0,,,,,6,26.5,ok
TIC 34143703,94.4237,-16.8159,4.05,0,,,,,3,13.4,ok
TIC 346888622,117.4221,-17.2293,4.06,0,,,,,4,16.9,ok
TIC 107415639,111.0237,-29.3031,4.06,0,,,,,4,17.6,ok
TIC 49706390,95.983,-25.5779,4.08,0,,,,,3,12.9,ok
TIC 412350992,110.5962,-20.5066,4.09,0,,,,,3,13.4,ok
TIC 20069221,88.875,-37.1208,4.09,0,,,,,6,28.2,ok
TIC 119489880,97.8956,-36.9395,4.16,0,,,,,4,17.4,ok
TIC 147800169,98.456,-36.2313,4.18,0,,,,,5,20.3,ok
TIC 290170765,32.1902,-17.7793,4.18,0,,,,,3,15.5,ok
TIC 445062554,91.2463,-16.4845,4.18,0,,,,,3,14.0,ok
TIC 52172862,99.4494,-32.3393,4.19,0,,,,,4,17.3,ok
TIC 114924130,72.5488,-16.2168,4.19,0,,,,,3,15.8,ok
TIC 51832266,97.8498,-32.8685,4.2,0,,,,,3,14.2,ok
TIC 121089827,57.1485,-20.9031,4.23,0,,,,,2,9.2,ok
TIC 148109427,105.9396,-15.6334,4.24,0,,,,,3,15.7,ok
TIC 461714424,59.8756,-12.5747,4.25,0,,,,,2,9.9,ok
TIC 34257670,94.7033,-15.0249,4.25,0,,,,,3,17.1,ok
TIC 139922508,115.3481,-22.3366,4.26,0,,,,,3,16.1,ok
TIC 37772171,94.0075,-27.5098,4.28,0,,,,,3,15.9,ok
TIC 4746245,39.8921,-11.8739,4.29,0,,,,,2,8.8,ok
TIC 66604391,38.0212,-15.2456,4.29,0,,,,,3,14.4,ok
TIC 79215518,103.9064,-20.1362,4.31,0,,,,,4,17.4,ok
TIC 136887637,61.0783,-15.7253,4.33,0,,,,,2,9.3,ok
TIC 54071353,23.9958,-15.4001,4.34,0,,,,,3,15.8,ok
TIC 423480264,71.2675,-21.2835,4.38,0,,,,,2,12.0,ok
TIC 441152806,41.0305,-13.8589,4.38,0,,,,,2,9.4,ok
TIC 24910738,27.3951,-10.6871,4.39,0,,,,,3,14.4,ok
TIC 119518289,98.0898,-37.6973,4.39,0,,,,,5,20.9,ok
TIC 170882932,70.7885,-30.7661,4.41,0,,,,,3,14.6,ok
TIC 192847293,83.2147,-38.5135,4.43,0,,,,,6,26.9,ok
TIC 127493611,117.0215,-25.9371,4.43,0,,,,,4,17.7,ok
TIC 61405251,102.5906,-17.0846,4.45,0,,,,,4,17.6,ok
TIC 111746359,111.1825,-31.8088,4.46,0,,,,,5,20.9,ok
TIC 106412328,109.7136,-26.5858,4.46,0,,,,,6,25.0,ok
TIC 146908355,104.0342,-17.0542,4.46,0,,,,,4,16.6,ok
TIC 279493836,59.1153,-13.5975,4.49,0,,,,,2,9.3,ok
TIC 166713077,55.7919,-31.0193,4.49,0,,,,,1,5.2,ok
TIC 64031281,37.6367,-22.5455,4.52,0,,,,,3,14.3,ok
TIC 117776994,69.8331,-14.3601,4.52,0,,,,,2,11.1,ok
TIC 4674183,38.678,-7.8599,4.52,0,,,,,2,8.9,ok
TIC 65903780,108.7128,-27.0382,4.53,0,,,,,6,24.6,ok
TIC 143108992,89.3842,-35.2832,4.54,0,,,,,6,26.5,ok
TIC 100508573,85.8105,-33.4249,4.55,0,,,,,6,26.7,ok
TIC 48096583,98.7642,-22.9647,4.57,0,,,,,2,9.1,ok
TIC 167458584,17.8221,-13.5033,4.57,0,,,,,?,0.8,erreur
TIC 31053527,80.4426,-24.7731,4.57,0,,,,,4,18.6,ok
TIC 5214630,112.4642,-23.0243,4.57,0,,,,,3,13.1,ok
TIC 393388737,94.2551,-37.7368,4.58,0,,,,,5,24.7,ok
TIC 114477338,114.342,-34.9684,4.58,0,,,,,5,21.0,ok
TIC 127574614,117.2567,-24.9121,4.6,0,,,,,4,16.9,ok
TIC 279342892,35.6371,-23.8168,4.6,0,,,,,4,18.3,ok
TIC 334352535,116.9383,-16.0145,4.6,0,,,,,4,16.9,ok
TIC 47642672,97.5493,-19.2151,4.63,0,,,,,2,9.0,ok
TIC 151845521,119.417,-30.3345,4.63,0,,,,,5,19.7,ok
TIC 65052060,107.5804,-27.4915,4.63,0,,,,,6,24.5,ok
TIC 64841664,107.429,-27.8833,4.63,0,,,,,6,24.2,ok
TIC 97508002,44.5245,-23.6056,4.63,0,,,,,3,14.7,ok
TIC 99615978,108.3503,-22.6745,4.64,0,,,,,5,20.5,ok
TIC 23037766,109.5765,-36.7339,4.64,0,,,,,6,24.1,ok
