nom,RA,Dec,Tmag,n_candidats,periodes,snr_max,verdict_auto,raisons_auto,n_secteurs,secondes,status
TIC 243279536,288.4796,57.7046,4.01,0,,,,,36,14.5,ok
TIC 72506701,206.8125,17.4573,4.03,0,,,,,2,3.1,ok
TIC 157364190,238.1726,42.4554,4.03,0,,,,,5,6.6,ok
TIC 458692518,214.3686,15.2634,4.03,0,,,,,1,1.7,ok
TIC 198309589,230.6557,39.5814,4.05,0,,,,,6,7.0,ok
TIC 229667767,244.935,46.3136,4.05,0,,,,,7,9.3,ok
TIC 259272661,293.8508,69.8056,4.06,0,,,,,41,12.9,ok
TIC 441804568,265.4848,72.1472,4.12,0,,,,,39,12.9,ok
TIC 168708816,214.0942,46.0893,4.12,0,,,,,?,0.5,erreur
TIC 219878176,260.8145,71.87,4.12,0,,,,,40,12.9,ok
TIC 356822358,275.189,71.338,4.14,0,,,,,40,13.5,ok
TIC 199666719,252.0692,57.8137,4.15,0,,,,,41,12.8,ok
TIC 459256246,231.5716,34.3364,4.16,0,,,,,5,5.8,ok
TIC 138252706,220.3056,31.5722,4.16,0,,,,,4,5.3,ok
TIC 450348475,219.8162,32.5395,4.16,0,,,,,4,5.4,ok
TIC 282793942,199.3152,13.676,4.18,0,,,,,1,1.8,ok
TIC 420649413,210.4117,1.5444,4.18,0,,,,,1,1.7,ok
TIC 144438547,207.7885,34.6641,4.18,0,,,,,3,4.1,ok
TIC 357390132,218.6647,49.3687,4.19,0,,,,,6,7.9,ok
TIC 219895046,262.9909,68.1358,4.19,0,,,,,36,13.4,ok
TIC 243337598,290.0671,57.6452,4.21,0,,,,,?,0.5,erreur
TIC 399788684,278.1438,57.0455,4.21,0,,,,,40,12.6,ok
TIC 199634926,250.7329,54.9036,4.22,0,,,,,20,12.6,ok
TIC 176965438,208.6751,-1.5033,4.24,0,,,,,2,3.3,ok
TIC 233647389,228.5431,42.1713,4.24,0,,,,,6,7.1,ok
TIC 158579411,222.8587,59.2948,4.25,0,,,,,8,10.6,ok
TIC 73540410,211.6233,16.9703,4.28,0,,,,,2,3.1,ok
TIC 446413398,213.7206,3.3357,4.28,0,,,,,1,1.7,ok
TIC 284359863,287.9194,56.8595,4.29,0,,,,,34,13.9,ok
TIC 274221477,249.6356,48.8622,4.29,0,,,,,7,8.9,ok
TIC 321553685,235.3594,38.5572,4.29,0,,,,,5,5.8,ok
TIC 95473936,202.106,13.7752,4.29,0,,,,,2,3.0,ok
TIC 355927841,218.129,55.3979,4.3,0,,,,,8,11.0,ok
TIC 219480018,242.1922,44.9351,4.3,0,,,,,6,8.0,ok
TIC 418010485,212.5996,25.0913,4.32,0,,,,,3,3.8,ok
TIC 310362802,213.3715,51.7899,4.34,0,,,,,6,8.1,ok
TIC 233195546,264.2379,68.76,4.34,0,,,,,39,13.5,ok
TIC 230080609,245.4526,69.1093,4.34,0,,,,,41,12.8,ok
TIC 188694034,260.4392,53.4204,4.36,0,,,,,24,13.7,ok
TIC 459252406,219.5516,43.6423,4.36,0,,,,,4,5.2,ok
TIC 199612990,249.5019,56.016,4.37,0,,,,,21,13.3,ok
TIC 269664165,301.2223,68.0271,4.38,0,,,,,39,12.7,ok
TIC 237282609,299.9019,76.481,4.4,0,,,,,27,13.4,ok
TIC 137841692,226.5702,54.5564,4.4,0,,,,,7,9.2,ok
TIC 289622310,254.0106,65.1351,4.41,0,,,,,41,13.2,ok
TIC 424391070,281.445,74.0861,4.43,0,,,,,39,13.4,ok
TIC 22817261,203.6999,37.1824,4.45,0,,,,,5,6.3,ok
TIC 449151391,213.7117,10.0996,4.45,0,,,,,1,1.8,ok
TIC 148835369,234.4572,40.3538,4.46,0,,,,,5,6.3,ok
TIC 199661915,251.3243,56.7822,4.46,0,,,,,27,13.4,ok
TIC 287415604,205.7636,3.5374,4.46,0,,,,,2,3.1,ok
TIC 285998197,199.0996,6.5043,4.46,0,,,,,2,3.0,ok
TIC 67884128,228.5255,31.7877,4.47,0,,,,,5,6.0,ok
TIC 237300602,302.2226,77.7116,4.48,0,,,,,26,13.9,ok
TIC 105654910,217.1919,25.8538,4.49,0,,,,,3,4.0,ok
TIC 272679177,234.4122,69.2837,4.49,0,,,,,27,13.2,ok
TIC 198236604,248.7522,60.4682,4.51,0,,,,,41,13.2,ok
TIC 202510300,231.964,60.6702,4.52,0,,,,,10,13.3,ok
TIC 313425217,240.7887,59.4105,4.53,0,,,,,19,13.7,ok
TIC 380675632,191.9642,3.5727,4.54,0,,,,,4,5.5,ok
TIC 219486522,242.9483,42.3747,4.55,0,,,,,5,6.9,ok
TIC 159941208,240.5232,52.9157,4.55,0,,,,,8,10.7,ok
TIC 441813918,267.3636,76.9644,4.55,0,,,,,40,13.0,ok
TIC 138128637,197.4489,16.8485,4.55,0,,,,,2,2.9,ok
TIC 310381204,214.0399,51.3678,4.55,0,,,,,6,8.0,ok
TIC 233121747,273.4794,64.3975,4.56,0,,,,,36,13.7,ok
TIC 230087102,247.0877,67.044,4.56,0,,,,,42,13.0,ok
TIC 161664509,221.3075,32.7879,4.56,0,,,,,4,5.8,ok
TIC 229904219,227.0991,26.3011,4.57,0,,,,,5,6.1,ok
TIC 229979857,290.1673,65.7148,4.57,0,,,,,41,13.4,ok
TIC 202505374,230.6598,63.3409,4.57,0,,,,,13,12.7,ok
TIC 283819432,225.9437,47.6545,4.57,0,,,,,5,7.0,ok
TIC 28240967,222.6219,37.2726,4.57,0,,,,,4,5.1,ok
TIC 202427680,227.0806,65.7888,4.58,0,,,,,12,12.8,ok
TIC 219777482,263.7516,61.8716,4.6,0,,,,,40,14.1,ok
TIC 229686919,263.0684,55.1733,4.61,0,,,,,42,13.5,ok
TIC 160600809,244.3742,75.7569,4.61,0,,114.5,rejete,variabilite_continue;eclipse_secondaire,35,23.9,ok
TIC 258829052,287.5098,66.103,4.62,0,,,,,41,13.1,ok
TIC 22954964,206.748,38.5426,4.62,0,,,,,5,6.4,ok
TIC 229613892,277.4374,77.5471,4.65,0,,,,,37,13.4,ok
TIC 233006012,247.4915,72.2804,4.65,0,,,,,39,13.7,ok
TIC 232563914,228.6633,67.3443,4.66,0,,,,,18,13.7,ok
TIC 229686929,263.0456,55.1846,4.66,0,,,,,42,13.4,ok
TIC 397587084,199.1917,9.4253,4.66,0,,,,,2,3.1,ok
TIC 67748689,225.7749,35.2058,4.66,0,,,,,6,7.2,ok
TIC 422251078,193.8762,11.4962,4.67,0,,,,,2,2.9,ok
TIC 397074306,198.7616,4.5174,4.69,0,,,,,4,5.2,ok
TIC 376975340,284.1873,57.8144,4.69,0,,,,,39,13.4,ok
TIC 27526090,217.4387,38.8612,4.7,0,,,,,4,5.3,ok
TIC 165766775,207.1614,31.1904,4.7,0,,,,,3,3.8,ok
TIC 162594341,244.7965,49.0384,4.71,0,,,,,8,10.0,ok
TIC 458485558,239.446,54.7504,4.71,0,,,,,8,10.1,ok
