nom,RA,Dec,Tmag,n_candidats,periodes,snr_max,verdict_auto,raisons_auto,n_secteurs,secondes,status
TIC 366633108,332.4525,72.3412,4.0,0,,,,,14,12.0,ok
TIC 258244520,252.9387,24.6565,4.01,0,,,,,3,3.9,ok
TIC 243279536,288.4795,57.7046,4.01,0,,,,,36,10.3,ok
TIC 8395677,245.5235,30.8927,4.03,0,,,,,6,6.1,ok
TIC 229667767,244.935,46.3136,4.05,0,,,,,7,8.1,ok
TIC 259272661,293.8508,69.8056,4.06,0,,,,,41,10.3,ok
TIC 356084759,247.6391,20.4787,4.07,0,,,,,4,4.6,ok
TIC 349487748,253.8416,18.4333,4.08,0,,,,,2,2.6,ok
TIC 85287514,52.5809,71.8639,4.08,0,,,,,8,9.5,ok
TIC 441804568,265.4848,72.147,4.12,0,,,,,39,10.9,ok
TIC 219878176,260.8145,71.87,4.12,0,,,,,40,10.8,ok
TIC 308175494,267.2047,25.6226,4.13,0,,,,,3,3.4,ok
TIC 193872669,269.9842,45.5011,4.13,0,,,,,9,9.2,ok
TIC 159740890,268.3252,40.0083,4.13,0,,,,,7,8.0,ok
TIC 115119794,248.5256,42.4373,4.14,0,,,,,6,6.9,ok
TIC 356822358,275.189,71.338,4.14,0,,,,,40,10.8,ok
TIC 461522596,342.8932,85.0464,4.14,0,,,,,12,11.4,ok
TIC 199666719,252.0692,57.8137,4.15,0,,,,,41,11.8,ok
TIC 258241663,252.6623,29.8065,4.16,0,,,,,3,3.5,ok
TIC 367073010,339.3052,75.3719,4.16,0,,,,,9,10.4,ok
TIC 347540240,247.8059,22.1955,4.19,0,,,,,5,5.4,ok
TIC 219895046,262.9909,68.1359,4.19,0,,,,,36,10.8,ok
TIC 332626441,271.8697,43.4615,4.2,0,,,,,9,10.4,ok
TIC 399788684,278.1438,57.0455,4.21,0,,,,,40,11.5,ok
TIC 460004366,265.6178,24.5634,4.21,0,,,,,4,4.7,ok
TIC 199634926,250.7329,54.9036,4.22,0,,,,,20,11.5,ok
TIC 85407251,257.5773,40.6901,4.22,0,,,,,7,7.7,ok
TIC 316675759,264.0892,27.5662,4.23,0,,,,,6,6.4,ok
TIC 471011933,236.0153,77.7945,4.27,0,,,,,22,11.6,ok
TIC 424429431,270.3749,21.5956,4.28,0,,,,,4,4.8,ok
TIC 467335635,325.7659,72.3198,4.29,0,,,,,15,10.9,ok
TIC 366558961,332.0683,72.7684,4.29,0,,,,,14,11.4,ok
TIC 198639604,271.6977,43.4517,4.31,0,,,,,10,11.9,ok
TIC 233195546,264.2379,68.7601,4.34,0,,,,,39,10.6,ok
TIC 230080609,245.4526,69.1093,4.34,0,,,,,41,11.3,ok
TIC 18272971,264.9896,31.2025,4.34,0,,,,,6,6.5,ok
TIC 329134913,249.4069,22.4448,4.35,0,,,,,4,4.6,ok
TIC 188694034,260.4392,53.4204,4.36,0,,,,,24,11.2,ok
TIC 383553764,263.0553,86.5868,4.36,0,,,,,12,12.1,ok
TIC 199612990,249.5019,56.016,4.37,0,,,,,21,10.7,ok
TIC 406533529,311.8882,80.552,4.37,0,,,,,17,11.8,ok
TIC 160222436,259.2254,89.0377,4.37,0,,,,,12,11.4,ok
TIC 269664165,301.2222,68.0271,4.38,0,,,,,39,11.9,ok
TIC 288268410,259.9054,80.1364,4.38,0,,,,,29,11.7,ok
TIC 396203108,39.5078,72.8184,4.39,0,,,,,10,11.3,ok
TIC 47584277,278.6281,51.7821,4.4,0,,,,,18,10.1,ok
TIC 237282609,299.9018,76.481,4.4,0,,,,,27,11.0,ok
TIC 302381745,100.1208,77.9957,4.4,0,,,,,9,10.3,ok
TIC 289622310,254.0109,65.1351,4.41,0,,,,,41,11.4,ok
TIC 137265970,31.3811,76.1149,4.41,0,,,,,10,11.2,ok
TIC 402148230,256.5745,22.0839,4.42,0,,,,,3,3.6,ok
TIC 396160206,38.63,76.7178,4.42,0,,,,,8,9.2,ok
TIC 424391070,281.445,74.0861,4.43,0,,,,,39,11.4,ok
TIC 336168427,318.9275,77.0124,4.45,0,,,,,18,11.3,ok
TIC 289816116,66.7627,80.824,4.45,0,,,,,9,11.3,ok
TIC 289264424,24.6286,73.0399,4.45,0,,,,,10,11.8,ok
TIC 199661915,251.3242,56.7822,4.46,0,,,,,27,11.2,ok
TIC 47578939,278.4861,52.3535,4.46,0,,,,,18,11.6,ok
TIC 237300602,302.2227,77.7116,4.48,0,,,,,26,11.3,ok
TIC 353315243,29.132,70.2038,4.51,0,,,,,10,11.4,ok
TIC 198236604,248.7522,60.4682,4.51,0,,,,,41,11.0,ok
TIC 22231411,270.1515,33.2135,4.51,0,,,,,5,5.6,ok
TIC 268379122,273.8686,86.658,4.51,0,,,,,13,11.3,ok
TIC 75938449,272.0085,36.4,4.52,0,,,,,7,8.3,ok
TIC 156298260,260.3893,16.7311,4.53,0,,,,,4,5.6,ok
TIC 116099248,266.9864,36.5551,4.53,0,,,,,7,8.0,ok
TIC 101831828,260.9202,37.1459,4.53,0,,,,,5,5.5,ok
TIC 398238180,307.0623,81.4228,4.54,0,,,,,19,11.2,ok
TIC 441813918,267.3637,76.9646,4.55,0,,,,,40,11.4,ok
TIC 233121747,273.4798,64.3975,4.56,0,,,,,36,11.4,ok
TIC 349486228,253.7303,20.9585,4.56,0,,,,,3,3.9,ok
TIC 275267559,268.9617,22.4642,4.56,0,,,,,4,4.6,ok
TIC 460008161,265.7555,29.6528,4.56,0,,,,,6,6.6,ok
TIC 22516402,271.7558,30.5625,4.56,0,,,,,5,5.5,ok
TIC 230087102,247.0877,67.044,4.56,0,,,,,42,11.4,ok
TIC 287230758,255.2422,22.6319,4.57,0,,,,,3,3.6,ok
TIC 229979857,290.1673,65.7148,4.57,0,,,,,41,11.9,ok
TIC 279509403,37.2661,67.4024,4.57,0,,,,,10,12.0,ok
TIC 471011952,246.3542,14.0329,4.57,0,,,,,1,1.3,ok
TIC 140809105,75.5829,74.2696,4.57,0,,,,,9,10.8,ok
TIC 366412503,329.8108,73.1788,4.58,0,,,,,14,11.4,ok
TIC 418343111,84.9319,75.0441,4.58,0,,,,,11,11.6,ok
TIC 308234803,267.5956,29.3225,4.6,0,,,,,5,5.8,ok
TIC 219777482,263.7519,61.8713,4.6,0,,,,,40,11.7,ok
TIC 160600809,244.374,75.757,4.61,0,,114.5,rejete,variabilite_continue;eclipse_secondaire,35,18.3,ok
TIC 229686919,263.0686,55.1733,4.61,0,,,,,42,11.1,ok
TIC 258829052,287.5098,66.103,4.62,0,,,,,41,10.9,ok
TIC 402893991,303.222,66.2457,4.62,0,,,,,29,11.9,ok
TIC 85521120,258.6023,36.3678,4.63,0,,,,,4,4.8,ok
TIC 141032422,81.2474,73.7072,4.63,0,,,,,9,10.1,ok
TIC 233006012,247.4915,72.2804,4.65,0,,,,,39,11.5,ok
TIC 420645991,48.5718,74.243,4.65,0,,,,,8,10.5,ok
TIC 8589330,247.7615,35.225,4.65,0,,,,,6,6.5,ok
TIC 229613892,277.4374,77.5471,4.65,0,,,,,37,11.8,ok
TIC 142103211,80.6369,79.2322,4.65,0,,,,,11,11.4,ok
TIC 140833780,76.0537,73.7638,4.66,0,,,,,9,10.6,ok
TIC 229686929,263.0458,55.1846,4.66,0,,,,,42,11.2,ok
TIC 420729343,62.5109,80.6987,4.67,0,,,,,7,8.5,ok
TIC 461522713,342.764,85.3745,4.68,0,,,,,11,11.6,ok
TIC 376975340,284.1873,57.8144,4.69,0,,,,,39,10.7,ok
TIC 367008886,338.9464,73.6433,4.71,0,,73.3,rejete,variabilite_continue;eclipse_secondaire,13,15.2,ok
TIC 468591122,16.1819,74.8346,4.71,0,,,,,9,10.9,ok
TIC 1308480726,258.6632,14.3903,4.72,0,,,,,2,2.5,ok
TIC 366381209,329.4626,74.9966,4.72,0,,,,,14,11.3,ok
TIC 400105449,102.1561,76.9898,4.72,0,,,,,9,10.1,ok
TIC 198238974,249.2292,63.0722,4.73,0,,,,,41,10.9,ok
TIC 351771589,13.3433,69.9562,4.73,0,,,,,9,10.6,ok
TIC 332545491,270.3998,33.3114,4.73,0,,,,,5,5.8,ok
TIC 259232022,292.7509,70.9896,4.73,0,,,,,42,11.3,ok
TIC 22415754,271.4569,32.2305,4.74,0,,,,,5,5.6,ok
TIC 193679746,267.1967,45.6997,4.74,0,,,,,9,9.9,ok
TIC 230282635,276.0,43.9077,4.74,0,,,,,10,11.8,ok
TIC 88893483,263.2796,41.243,4.76,0,,,,,7,8.1,ok
TIC 459873006,90.3357,85.1821,4.77,0,,,,,13,12.0,ok
TIC 75962707,272.4959,36.4663,4.78,0,,,,,5,6.0,ok
TIC 377100366,285.1809,55.6583,4.78,0,,,,,30,10.8,ok
TIC 424429430,270.3768,21.596,4.78,0,,,,,4,4.5,ok
TIC 9728611,260.166,32.4607,4.79,0,,,,,5,5.4,ok
TIC 48194330,282.8953,52.9767,4.79,0,,,,,23,11.4,ok
TIC 115351489,251.2991,43.2168,4.8,0,,,,,6,7.0,ok
TIC 233623612,284.1069,65.2579,4.81,0,,,,,40,11.1,ok
TIC 396713842,46.896,75.8037,4.81,0,,,,,8,9.6,ok
TIC 115507350,253.3227,47.4174,4.81,0,,,,,7,7.9,ok
TIC 400360206,263.4141,16.3172,4.82,0,,,,,4,5.1,ok
TIC 115420152,252.3095,45.983,4.82,0,,,,,6,6.9,ok
TIC 235682463,287.2927,76.5597,4.82,0,,,,,39,10.7,ok
TIC 39429875,262.7307,31.1582,4.83,0,,,,,6,6.6,ok
TIC 470111890,328.0545,79.5519,4.83,0,,,,,15,11.2,ok
TIC 138107841,91.2892,75.5859,4.84,0,,,,,9,10.1,ok
TIC 116262415,268.0196,39.9824,4.84,0,,,,,7,8.4,ok
TIC 366555356,331.838,74.7329,4.84,0,,,,,15,11.1,ok
TIC 408660778,47.9848,74.3931,4.84,0,,13.7,rejete,variabilite_continue;eclipse_secondaire,8,12.1,ok
TIC 420264584,306.0146,75.2539,4.85,0,,,,,24,11.3,ok
TIC 233016334,259.3994,23.0906,4.85,0,,,,,4,4.7,ok
TIC 257732522,259.7026,28.8229,4.85,0,,,,,5,5.3,ok
TIC 397133620,53.089,84.9101,4.86,0,,,,,12,11.4,ok
TIC 230229336,258.9225,23.7429,4.86,0,,,,,4,5.0,ok
TIC 274510697,254.0265,50.0388,4.86,0,,,,,10,10.9,ok
TIC 193576524,265.7727,44.0846,4.87,0,,,,,7,7.8,ok
TIC 364025794,267.1034,20.5655,4.87,0,,,,,5,5.3,ok
TIC 332395787,255.5783,25.5063,4.89,0,,,,,2,2.7,ok
TIC 307985697,257.1021,64.3191,4.89,0,,,,,38,11.2,ok
TIC 332627773,271.9958,42.2238,4.9,0,,,,,9,10.7,ok
TIC 320471421,250.2522,24.8587,4.91,0,,,,,3,3.6,ok
TIC 355926765,255.9692,19.6906,4.91,0,,,,,3,4.1,ok
TIC 458518332,249.4542,27.0436,4.93,0,,,,,4,4.8,ok
TIC 288391863,267.5423,78.3066,4.95,0,,,,,37,11.4,ok
TIC 141523112,101.5552,79.5607,4.95,0,,,,,10,11.0,ok
TIC 137206215,31.2848,77.2809,4.95,0,,,,,11,10.9,ok
TIC 356111584,262.6817,57.8767,4.96,0,,,,,41,11.4,ok
TIC 379483903,30.4879,70.9069,4.96,0,,,,,10,11.5,ok
TIC 115180683,249.0466,46.6133,4.98,0,,,,,8,9.1,ok
TIC 257715673,259.3944,28.9133,4.98,0,,,,,5,6.0,ok
TIC 408574766,42.9949,68.8884,4.98,0,,,,,8,9.1,ok
TIC 230087513,246.9954,68.7684,4.98,0,,,,,40,11.0,ok
TIC 376087281,3.5115,76.027,4.99,0,,,,,11,11.5,ok
TIC 257794808,259.8504,27.2837,4.99,0,,,,,5,5.6,ok
TIC 236753088,254.9702,27.316,4.99,0,,,,,3,3.7,ok
TIC 288183829,222.5943,82.5104,4.99,0,,,,,17,11.2,ok
TIC 275364579,12.0412,72.6746,4.99,0,,,,,9,10.3,ok
TIC 356227278,267.2673,50.7824,5.01,0,,,,,13,10.7,ok
TIC 274975269,257.9161,45.3244,5.01,0,,,,,9,9.6,ok
TIC 366560229,303.7356,72.6056,5.03,0,,,,,29,10.9,ok
TIC 137205777,30.7375,77.9162,5.03,0,,,,,8,9.6,ok
TIC 320474096,264.2505,57.7403,5.03,0,,,,,41,12.4,ok
TIC 236767893,273.8215,68.7554,5.04,0,,,,,36,11.4,ok
TIC 460099704,266.9424,28.7574,5.04,0,,,,,5,5.5,ok
TIC 159292629,253.2412,31.7016,5.04,0,,,,,3,3.5,ok
TIC 362065005,258.6239,45.1869,5.04,0,,,,,9,9.9,ok
TIC 224598071,254.839,56.6888,5.06,0,,,,,36,11.2,ok
TIC 137159259,30.16,75.9528,5.06,0,,,,,11,10.9,ok
TIC 364122121,307.5029,72.5315,5.07,0,,,,,24,11.5,ok
TIC 68843447,249.1319,36.0397,5.07,0,,,,,6,6.4,ok
TIC 288756650,276.0573,39.5072,5.08,0,,,,,8,9.4,ok
TIC 284183146,205.5982,82.7521,5.08,0,,,,,16,12.1,ok
TIC 285139576,268.855,26.05,5.08,0,,,,,6,6.3,ok
TIC 157224759,267.6816,11.9463,5.08,0,,,,,2,2.4,ok
TIC 21831056,257.0084,35.9351,5.09,0,,,,,3,3.7,ok
TIC 39836825,244.9786,39.7086,5.09,0,,,,,6,7.2,ok
TIC 353317633,29.0004,68.6852,5.09,0,,,,,9,10.4,ok
TIC 22479118,271.7977,34.8252,5.1,0,,,,,5,6.7,ok
TIC 356820178,268.7967,72.0051,5.1,1,1.2803,41.5,rejete,variabilite_continue;eclipse_secondaire;compagnon_trop_gros_5.5Rjup,40,15.0,ok
TIC 267257108,263.9616,12.047,5.1,0,,,,,1,2.8,ok
TIC 235685913,288.0941,73.8925,5.11,0,,,,,43,12.1,ok
TIC 115422050,252.4189,43.4304,5.12,0,,,,,6,7.0,ok
TIC 392569763,280.6581,55.5396,5.12,0,,,,,38,11.6,ok
TIC 138074750,90.6344,74.5076,5.12,0,,,,,9,10.3,ok
TIC 335916346,265.3404,51.8181,5.12,0,,,,,18,12.0,ok
TIC 101674348,259.5968,38.8119,5.13,0,,,,,6,6.9,ok
TIC 396532741,43.8989,74.313,5.13,0,,,,,9,10.4,ok
TIC 333784916,307.8769,74.9545,5.13,0,,,,,21,11.6,ok
TIC 376764222,255.6603,20.7256,5.13,0,,,,,3,3.4,ok
TIC 264297610,321.2082,80.5247,5.14,0,,,,,15,11.7,ok
TIC 142699183,255.992,13.5665,5.14,0,,,,,1,2.3,ok
TIC 159331270,232.393,78.6335,5.15,0,,,,,18,12.4,ok
TIC 356823982,274.9191,67.4352,5.15,0,,,,,36,11.8,ok
TIC 460022840,265.839,24.3283,5.15,0,,,,,5,6.2,ok
TIC 230021105,291.6109,62.5574,5.15,0,,,,,40,11.5,ok
TIC 264053070,307.3677,81.0928,5.15,0,,,,,19,11.6,ok
TIC 379527125,30.666,71.298,5.16,0,,,,,9,10.2,ok
TIC 353988778,272.6331,54.2882,5.16,0,,,,,36,11.3,ok
TIC 364255453,313.6857,75.9259,5.17,0,,,,,17,11.0,ok
TIC 236813492,283.4432,57.4865,5.17,0,,,,,42,11.1,ok
TIC 462666639,263.3449,19.2561,5.17,0,,,,,5,5.7,ok
TIC 289383510,48.7813,73.8679,5.18,0,,,,,8,9.7,ok
TIC 43790244,265.4943,15.9531,5.18,0,,,,,5,5.6,ok
TIC 103220149,63.437,72.1259,5.18,0,,,,,9,10.1,ok
TIC 198355687,256.3332,54.4705,5.18,0,,,,,24,11.5,ok
TIC 288468229,270.0401,80.0049,5.19,0,,,,,27,13.3,ok
TIC 316675336,264.0338,28.1853,5.2,0,,,,,6,6.6,ok
TIC 367865950,354.8378,74.0026,5.21,0,,,,,11,11.8,ok
TIC 310666234,258.7829,17.8015,5.21,0,,,,,4,4.8,ok
TIC 379602354,34.1742,67.2839,5.21,0,,,,,10,11.5,ok
TIC 116046753,266.7217,36.0873,5.21,0,,,,,7,8.2,ok
TIC 458719384,245.0176,21.1323,5.22,0,,,,,5,5.3,ok
TIC 258130795,246.3161,19.2395,5.22,0,,,,,5,5.6,ok
TIC 462647630,262.8278,19.5216,5.23,0,,,,,5,5.8,ok
TIC 159943982,269.6764,36.2875,5.24,0,,,,,6,7.4,ok
TIC 279265273,25.7343,70.6224,5.24,0,,,,,11,11.3,ok
TIC 115581508,254.459,42.5121,5.25,0,,,,,7,8.0,ok
TIC 289570571,251.815,63.532,5.25,0,,,,,41,11.0,ok
TIC 198187937,245.9461,61.6967,5.25,0,,,,,41,11.4,ok
TIC 233539590,281.0761,61.0483,5.25,0,,,,,40,12.1,ok
TIC 366674858,333.2203,73.3073,5.25,0,,,,,15,13.2,ok
TIC 288381663,265.5488,80.2825,5.25,0,,,,,26,13.8,ok
TIC 164319943,264.8057,46.155,5.26,0,,,,,9,10.5,ok
TIC 461636387,19.0617,87.1454,5.26,0,,,,,13,11.8,ok
TIC 76346022,274.2769,40.9372,5.26,0,,,,,7,8.2,ok
TIC 230076586,244.5402,68.5549,5.26,0,,,,,41,11.9,ok
TIC 160583993,243.1326,75.2109,5.26,0,,,,,35,11.7,ok
TIC 418241480,50.0844,77.7343,5.26,0,,,,,8,9.1,ok
TIC 1271046655,256.3331,54.4713,5.26,0,,,,,24,12.6,ok
TIC 298320798,252.68,32.554,5.27,0,,,,,5,5.5,ok
TIC 458575477,253.7591,25.7305,5.27,0,,,,,3,4.5,ok
TIC 10005000539,250.4235,36.4613,5.28,0,,,,,6,7.2,ok
TIC 21635088,255.4015,33.5683,5.29,0,,,,,4,5.2,ok
