nom,RA,Dec,Tmag,n_candidats,periodes,snr_max,verdict_auto,raisons_auto,n_secteurs,secondes,status
TIC 366633108,332.4525,72.3412,4.0,0,,,,,14,20.4,ok
TIC 419531713,8.25,62.9318,4.01,0,,,,,6,11.6,ok
TIC 269511338,350.6356,60.1335,4.01,0,,,,,8,15.8,ok
TIC 8395677,245.5235,30.8927,4.03,0,,,,,6,10.8,ok
TIC 157364190,238.1729,42.4558,4.03,0,,,,,5,9.3,ok
TIC 346000914,356.758,57.4513,4.04,0,,,,,8,15.1,ok
TIC 198309589,230.6557,39.5814,4.05,0,,,,,6,11.0,ok
TIC 229667767,244.935,46.3136,4.05,0,,,,,7,13.2,ok
TIC 237084695,307.396,62.994,4.05,0,,,,,16,19.4,ok
TIC 259272661,293.8508,69.8056,4.06,0,,,,,41,18.8,ok
TIC 422656102,349.6572,68.1115,4.07,0,,,,,9,18.0,ok
TIC 356084759,247.6391,20.4787,4.07,0,,,,,4,7.3,ok
TIC 334487469,330.9511,64.6286,4.1,0,,,,,8,15.1,ok
TIC 285534579,12.8182,61.8055,4.1,0,,,,,6,11.4,ok
TIC 219878176,260.8145,71.87,4.12,0,,,,,40,18.8,ok
TIC 441804568,265.4848,72.147,4.12,0,,,,,39,19.3,ok
TIC 265186608,349.849,62.7398,4.12,0,,,,,9,17.8,ok
TIC 115119794,248.5256,42.4373,4.14,0,,,,,6,11.3,ok
TIC 461522596,342.8932,85.0464,4.14,0,,,,,12,19.8,ok
TIC 356822358,275.189,71.338,4.14,0,,,,,40,18.2,ok
TIC 199666719,252.0692,57.8137,4.15,0,,,,,41,18.3,ok
TIC 367073010,339.3052,75.3719,4.16,0,,,,,9,17.0,ok
TIC 258241663,252.6623,29.8065,4.16,0,,,,,3,5.4,ok
TIC 459256246,231.5715,34.3364,4.16,0,,,,,5,8.8,ok
TIC 29414036,239.7406,36.644,4.18,0,,,,,3,6.2,ok
TIC 236982345,305.2981,63.9802,4.18,0,,,,,21,18.0,ok
TIC 347540240,247.8059,22.1955,4.19,0,,,,,5,8.8,ok
TIC 427550855,345.8874,67.2093,4.19,0,,,,,9,16.7,ok
TIC 219895046,262.9909,68.1359,4.19,0,,,,,36,18.3,ok
TIC 172751946,242.0186,17.0469,4.19,0,,,,,4,7.3,ok
TIC 399788684,278.1438,57.0455,4.21,0,,,,,40,18.3,ok
TIC 199634926,250.7329,54.9036,4.22,0,,,,,?,0.5,erreur
TIC 85407251,257.5773,40.6901,4.22,0,,,,,7,13.5,ok
TIC 378652092,0.9653,66.7121,4.22,0,,,,,6,11.4,ok
TIC 233647389,228.5432,42.1713,4.24,0,,,,,6,10.8,ok
TIC 393703392,240.3093,17.8195,4.25,0,,,,,4,8.0,ok
TIC 285544488,13.2665,61.1251,4.27,0,,,,,6,11.1,ok
TIC 383522733,231.912,25.1015,4.29,0,,,,,3,6.3,ok
TIC 467335635,325.7659,72.3198,4.29,0,,,,,15,17.8,ok
TIC 321553685,235.3595,38.5572,4.29,0,,,,,?,0.5,erreur
TIC 274221477,249.6356,48.8622,4.29,0,,,,,7,13.0,ok
TIC 366558961,332.0683,72.7684,4.29,0,,,,,14,19.2,ok
TIC 219480018,242.1922,44.9351,4.3,0,,,,,6,11.1,ok
TIC 230080609,245.4526,69.1093,4.34,0,,,,,41,18.4,ok
TIC 233195546,264.2379,68.7601,4.34,0,,,,,39,18.2,ok
TIC 321601892,264.1572,48.5861,4.35,0,,,,,10,18.0,ok
TIC 329134913,249.4069,22.4448,4.35,0,,,,,4,7.2,ok
TIC 188694034,260.4392,53.4204,4.36,0,,,,,24,17.8,ok
TIC 199612990,249.5019,56.016,4.37,0,,,,,21,18.4,ok
TIC 256801656,301.3888,61.9959,4.37,0,,,,,23,18.0,ok
TIC 406533529,311.8882,80.552,4.37,0,,,,,17,18.7,ok
TIC 269664165,301.2222,68.0271,4.38,0,,,,,39,18.0,ok
TIC 288268410,259.9054,80.1364,4.38,0,,,,,29,18.8,ok
TIC 396203108,39.5078,72.8184,4.39,0,,,,,10,18.6,ok
TIC 272140352,355.5875,64.5154,4.4,0,,,,,9,16.4,ok
TIC 237282609,299.9018,76.481,4.4,0,,,,,27,18.1,ok
TIC 289622310,254.0109,65.1351,4.41,0,,,,,?,0.6,erreur
TIC 310561395,242.9501,36.4249,4.41,0,,,,,5,9.4,ok
TIC 137265970,31.3811,76.1149,4.41,0,,,,,10,18.3,ok
TIC 375906812,336.5038,70.7709,4.43,0,,,,,9,16.4,ok
TIC 424391070,281.445,74.0861,4.43,0,,,,,39,18.0,ok
TIC 418416600,0.3162,60.3552,4.44,0,,,,,8,15.2,ok
TIC 289264424,24.6286,73.0399,4.45,0,,,,,10,17.9,ok
TIC 336168427,318.9275,77.0124,4.45,0,,,,,18,18.4,ok
TIC 199661915,251.3242,56.7822,4.46,0,,,,,27,18.9,ok
TIC 148835369,234.4572,40.3538,4.46,0,,,,,5,8.9,ok
TIC 67884128,228.5255,31.7877,4.47,0,,,,,5,8.8,ok
TIC 373704594,27.8205,64.8549,4.47,0,,,,,8,15.0,ok
TIC 237300602,302.2227,77.7116,4.48,0,,,,,26,19.2,ok
TIC 229902025,226.8267,24.8681,4.5,0,,,,,3,5.9,ok
TIC 353315243,29.132,70.2038,4.51,0,,,,,10,18.9,ok
TIC 198236604,248.7522,60.4682,4.51,0,,,,,41,19.1,ok
TIC 313425217,240.7887,59.4105,4.53,0,,,,,?,0.7,erreur
TIC 398238180,307.0623,81.4228,4.54,0,,,,,19,19.9,ok
TIC 441813918,267.3637,76.9646,4.55,0,,,,,40,19.2,ok
TIC 159941208,240.5232,52.9157,4.55,0,,,,,8,15.0,ok
TIC 219486522,242.9483,42.3747,4.55,0,,,,,5,9.6,ok
TIC 230087102,247.0877,67.044,4.56,0,,,,,42,18.2,ok
TIC 233121747,273.4798,64.3975,4.56,0,,,,,?,0.7,erreur
TIC 229979857,290.1673,65.7148,4.57,0,,,,,41,19.3,ok
TIC 229904219,227.0991,26.301,4.57,0,,,,,5,9.1,ok
TIC 279509403,37.2661,67.4024,4.57,0,,,,,10,18.3,ok
TIC 366412503,329.8108,73.1788,4.58,0,,,,,14,18.6,ok
TIC 219777482,263.7519,61.8713,4.6,0,,,,,40,19.3,ok
TIC 229686919,263.0686,55.1733,4.61,0,,,,,42,18.7,ok
TIC 160600809,244.374,75.757,4.61,0,,114.5,rejete,variabilite_continue;eclipse_secondaire,35,29.4,ok
TIC 337465539,336.4459,63.3283,4.62,0,,,,,10,18.9,ok
TIC 357502856,230.0347,29.6159,4.62,0,,,,,3,5.5,ok
TIC 402893991,303.222,66.2457,4.62,0,,,,,29,18.9,ok
TIC 258829052,287.5098,66.103,4.62,0,,,,,41,18.9,ok
TIC 17062324,235.9968,32.5157,4.64,0,,,,,3,5.5,ok
TIC 349359433,228.0167,22.3132,4.65,0,,,,,3,6.5,ok
TIC 8589330,247.7615,35.225,4.65,0,,,,,6,10.9,ok
TIC 233006012,247.4915,72.2804,4.65,0,,,,,39,19.1,ok
TIC 229613892,277.4374,77.5471,4.65,0,,,,,37,19.5,ok
TIC 418416997,0.5737,60.7031,4.66,0,,,,,?,0.6,erreur
TIC 229686929,263.0458,55.1846,4.66,0,,,,,42,19.1,ok
TIC 67748689,225.7749,35.2059,4.66,0,,,,,6,10.6,ok
TIC 420393296,5.1815,61.8796,4.67,0,,,,,5,9.2,ok
TIC 161723589,236.6434,55.4753,4.67,0,,,,,8,14.7,ok
TIC 461522713,342.7639,85.3745,4.68,0,,,,,11,18.6,ok
TIC 269237357,350.06,61.9701,4.69,0,,,,,9,17.5,ok
TIC 376975340,284.1873,57.8144,4.69,0,,,,,39,19.2,ok
TIC 336628994,334.5533,62.8045,4.7,0,,,,,9,17.4,ok
TIC 468591122,16.1819,74.8346,4.71,0,,,,,9,17.4,ok
TIC 162594341,244.7965,49.0384,4.71,0,,,,,8,15.5,ok
TIC 458485558,239.4459,54.7505,4.71,0,,,,,8,15.1,ok
TIC 366381209,329.4626,74.9966,4.72,0,,,,,14,18.8,ok
TIC 326533486,359.3311,61.0262,4.72,0,,,,,?,0.6,erreur
TIC 198238974,249.2292,63.0722,4.73,0,,,,,41,19.1,ok
TIC 259232022,292.7509,70.9896,4.73,0,,,,,42,19.2,ok
TIC 351771589,13.3433,69.9562,4.73,0,,,,,9,16.7,ok
TIC 285339013,12.6822,64.2475,4.74,0,,,,,6,12.5,ok
TIC 229904473,227.1481,25.1086,4.75,0,,,,,3,7.1,ok
TIC 13211109,343.9936,62.4323,4.77,0,,,,,9,17.3,ok
TIC 470694175,357.209,62.2145,4.77,0,,,,,9,17.0,ok
TIC 229573047,240.5737,22.8046,4.78,0,,,,,4,9.4,ok
TIC 389900060,23.7022,65.7977,4.79,0,,,,,8,15.8,ok
TIC 135260601,243.8688,18.8075,4.79,0,,,,,4,8.2,ok
TIC 470913104,1.1766,67.1666,4.79,0,,,,,6,11.9,ok
TIC 115351489,251.2991,43.2168,4.8,0,,,,,6,11.5,ok
TIC 233623612,284.1069,65.2579,4.81,0,,,,,40,19.3,ok
TIC 115507350,253.3227,47.4174,4.81,0,,,,,7,13.5,ok
TIC 417582433,240.7001,46.0363,4.82,0,,,,,7,12.8,ok
TIC 235682463,287.2927,76.5597,4.82,0,,,,,39,19.2,ok
TIC 115420152,252.3095,45.983,4.82,0,,,,,6,11.5,ok
TIC 39901683,245.0757,36.9754,4.83,0,,,,,5,9.6,ok
TIC 470111890,328.0545,79.5519,4.83,0,,,,,15,18.4,ok
TIC 355740729,229.602,20.5726,4.83,0,,,,,3,5.9,ok
TIC 229438448,293.292,60.1587,4.84,0,,,,,38,19.6,ok
TIC 366555356,331.838,74.7329,4.84,0,,,,,15,19.3,ok
TIC 420264584,306.0146,75.2539,4.85,0,,,,,24,19.5,ok
TIC 275420565,319.8427,64.8719,4.85,0,,,,,11,18.9,ok
TIC 371303697,329.3509,66.1391,4.86,0,,,,,9,16.7,ok
TIC 312058658,10.1033,59.5138,4.88,0,,,,,6,11.6,ok
TIC 314623035,346.6535,59.4197,4.88,0,,,,,7,13.6,ok
TIC 41741489,232.9456,40.8993,4.88,0,,,,,6,12.0,ok
TIC 307985697,257.1021,64.3191,4.89,0,,,,,38,19.7,ok
TIC 284428523,241.8423,21.8223,4.9,0,,,,,4,8.4,ok
TIC 351367067,8.9049,67.926,4.9,0,,,,,6,11.8,ok
TIC 458518332,249.4542,27.0436,4.93,0,,,,,4,7.6,ok
TIC 84155016,4.2376,61.5332,4.95,0,,,,,9,16.8,ok
TIC 288391863,267.5423,78.3066,4.95,0,,,,,37,19.2,ok
TIC 137206215,31.2848,77.2809,4.95,0,,,,,11,20.2,ok
TIC 379483903,30.4879,70.9069,4.96,0,,,,,10,18.8,ok
TIC 378536210,0.6505,66.099,4.96,0,,,,,6,11.9,ok
TIC 356111584,262.6817,57.8767,4.96,0,,,,,41,19.4,ok
TIC 269238261,350.1439,62.2133,4.96,0,,,,,9,17.4,ok
TIC 444067913,237.0075,31.7353,4.96,0,,,,,3,6.5,ok
TIC 471012043,290.8921,69.0145,4.97,0,,,,,29,18.9,ok
TIC 272324954,356.0136,61.7895,4.97,0,,,,,9,17.9,ok
TIC 224312054,233.8173,53.9222,4.97,0,,,,,8,15.5,ok
TIC 412881761,330.014,65.4328,4.97,0,,,,,10,19.0,ok
TIC 115180683,249.0466,46.6133,4.98,0,,,,,8,16.0,ok
TIC 236381360,243.9469,27.4218,4.98,0,,,,,3,6.2,ok
TIC 230087513,246.9954,68.7684,4.98,0,,,,,40,19.5,ok
TIC 376087281,3.5115,76.027,4.99,0,,,,,11,19.7,ok
TIC 275364579,12.0412,72.6746,4.99,0,,,,,9,17.5,ok
TIC 29414180,239.6278,36.0221,4.99,0,,,,,3,6.0,ok
TIC 161732839,238.0687,55.8271,5.0,0,,,,,8,14.9,ok
TIC 17542164,243.668,33.858,5.01,0,,,,,4,7.6,ok
TIC 441797545,264.2876,72.4559,5.01,0,,,,,38,19.7,ok
TIC 427312571,352.5083,58.549,5.01,0,,,,,?,148.7,timeout
TIC 356227278,267.2673,50.7824,5.01,0,,,,,13,18.7,ok
TIC 274975269,257.9161,45.3244,5.01,0,,,,,9,16.8,ok
TIC 320474096,264.2505,57.7403,5.03,0,,,,,41,19.3,ok
TIC 389917323,275.977,58.8012,5.03,0,,,,,40,19.3,ok
TIC 433884861,342.1846,62.9381,5.03,0,,,,,?,0.6,erreur
TIC 366560229,303.7356,72.6056,5.03,0,,,,,29,19.6,ok
TIC 362065005,258.6239,45.1869,5.04,0,,,,,9,17.9,ok
TIC 334604570,331.2866,62.2798,5.04,0,,,,,8,15.5,ok
TIC 356010327,240.3604,29.851,5.04,0,,,,,4,7.3,ok
TIC 159292629,253.2412,31.7016,5.04,0,,,,,3,5.5,ok
TIC 233654246,229.5622,45.6198,5.05,0,,,,,7,13.5,ok
TIC 116382339,231.0212,45.271,5.05,0,,,,,6,11.2,ok
TIC 137159259,30.16,75.9528,5.06,0,,,,,11,18.1,ok
TIC 368028185,356.9785,67.8068,5.07,0,,,,,8,15.8,ok
TIC 364122121,307.5029,72.5315,5.07,0,,,,,24,18.3,ok
TIC 68843447,249.1319,36.0397,5.07,0,,,,,6,11.0,ok
TIC 116542163,234.7453,46.9264,5.07,0,,,,,6,11.1,ok
TIC 417031206,359.7523,55.7549,5.09,0,,,,,7,13.3,ok
TIC 353317633,29.0004,68.6852,5.09,0,,,,,9,17.7,ok
TIC 29385285,238.9485,37.9475,5.09,0,,,,,3,5.8,ok
