nom,RA,Dec,Tmag,n_candidats,periodes,snr_max,verdict_auto,raisons_auto,n_secteurs,secondes,status
TIC 243279536,288.4796,57.7047,4.01,0,,,,,36,19.8,ok
TIC 173301317,346.9135,46.3871,4.04,0,,,,,4,14.8,ok
TIC 237084695,307.3959,62.994,4.05,0,,,,,16,28.2,ok
TIC 259272661,293.8508,69.8056,4.06,0,,,,,41,24.3,ok
TIC 165370745,200.7728,47.0021,4.06,0,,,,,5,5.4,ok
TIC 372052377,351.0369,41.6129,4.09,0,,,,,3,3.8,ok
TIC 2022481918,330.9504,64.6285,4.1,0,,,,,1,1.6,ok
TIC 219878176,260.8145,71.87,4.12,0,,,,,40,11.4,ok
TIC 441804568,265.4848,72.1474,4.12,0,,,,,39,11.6,ok
TIC 168708816,214.0944,46.0892,4.12,0,,,,,6,6.7,ok
TIC 351295818,300.34,50.1047,4.14,0,,,,,12,12.9,ok
TIC 356822358,275.189,71.338,4.14,0,,,,,40,10.3,ok
TIC 199666719,252.0692,57.8137,4.15,0,,,,,41,10.8,ok
TIC 236982345,305.2981,63.9802,4.18,0,,,,,21,11.6,ok
TIC 233798897,303.3501,56.5682,4.18,0,,,,,13,11.4,ok
TIC 219895046,262.9909,68.1358,4.19,0,,,,,36,11.0,ok
TIC 357390132,218.6647,49.3686,4.19,0,,,,,6,6.8,ok
TIC 399788684,278.1438,57.0456,4.21,0,,,,,40,11.4,ok
TIC 243337598,290.067,57.6452,4.21,0,,,,,30,12.3,ok
TIC 164178379,335.985,31.2618,4.21,0,,,,,2,2.8,ok
TIC 199634926,250.7329,54.9036,4.22,0,,,,,20,11.7,ok
TIC 252756054,348.1383,49.4067,4.25,0,,,,,5,5.6,ok
TIC 158579411,222.8588,59.2947,4.25,0,,,,,8,8.8,ok
TIC 421448572,314.8563,59.4387,4.26,0,,,,,10,11.4,ok
TIC 366850987,311.9553,47.8318,4.27,0,,,,,8,10.0,ok
TIC 129219174,342.4871,41.0512,4.29,0,,,,,5,5.8,ok
TIC 128925287,341.0228,41.8193,4.29,0,,,,,5,6.3,ok
TIC 284359863,287.9194,56.8595,4.29,0,,,,,34,10.8,ok
TIC 162238845,331.4254,35.3485,4.29,0,,,,,2,2.5,ok
TIC 355927841,218.129,55.3979,4.3,0,,,,,8,9.3,ok
TIC 295296524,303.2076,49.451,4.3,0,,,,,9,11.7,ok
TIC 341441461,325.1628,54.3247,4.32,0,,,,,8,9.0,ok
TIC 333225860,352.8246,39.2357,4.32,0,,,,,4,4.6,ok
TIC 230080609,245.4527,69.1093,4.34,0,,,,,41,10.8,ok
TIC 233195546,264.2379,68.7597,4.34,0,,,,,39,12.1,ok
TIC 329329553,314.4715,44.7881,4.35,0,,,,,8,9.7,ok
TIC 136704493,317.6201,47.6548,4.35,0,,,,,8,9.4,ok
TIC 459252406,219.5517,43.6423,4.36,0,,,,,4,4.4,ok
TIC 335624186,333.0084,60.7592,4.37,0,,,,,8,9.1,ok
TIC 256801656,301.3884,61.9958,4.37,0,,,,,23,11.9,ok
TIC 422108142,335.7792,55.9632,4.37,0,,,,,7,8.0,ok
